uid,gics_sector,country,type_of_target,year,scope1_tonnes,scope2_tonnes,targeted_emissions,scenario,growth_rate,interpolation_method
C001,Real Estate,Global,Scope 2,2035,21510000,835884,835884,high,0.02,linear
C001,Real Estate,Global,Scope 2,2036,21510000,812472,812472,high,0.02,linear
C001,Real Estate,Global,Scope 2,2037,21510000,789061,789061,high,0.02,linear
C001,Real Estate,Global,Scope 2,2038,21510000,765649,765649,high,0.02,linear
C001,Real Estate,Global,Scope 2,2039,21510000,742238,742238,high,0.02,linear
C001,Real Estate,Global,Scope 2,2040,21510000,718826,718826,high,0.02,linear
C001,Real Estate,Global,Scope 2,2041,21510000,695414,695414,high,0.02,linear
C001,Real Estate,Global,Scope 2,2042,21510000,672003,672003,high,0.02,linear
C001,Real Estate,Global,Scope 2,2043,21510000,648591,648591,high,0.02,linear
C001,Real Estate,Global,Scope 2,2044,21510000,625180,625180,high,0.02,linear
C001,Real Estate,Global,Scope 2,2045,21510000,601768,601768,high,0.02,linear
C001,Real Estate,Global,Scope 2,2046,21510000,578356,578356,high,0.02,linear
C001,Real Estate,Global,Scope 2,2047,21510000,554945,554945,high,0.02,linear
C001,Real Estate,Global,Scope 2,2048,21510000,531533,531533,high,0.02,linear
C001,Real Estate,Global,Scope 2,2049,21510000,508122,508122,high,0.02,linear
C001,Real Estate,Global,Scope 2,2050,21510000,484710,484710,high,0.02,linear
C002,Energy,Brazil,Scope 1,2025,6570000,17510000,6570000,low,0.0,linear
C002,Energy,Brazil,Scope 1,2026,6570000,17510000,6570000,low,0.0,linear
C002,Energy,Brazil,Scope 1,2027,6570000,17510000,6570000,low,0.0,linear
C002,Energy,Brazil,Scope 1,2028,6570000,17510000,6570000,low,0.0,linear
C002,Energy,Brazil,Scope 1,2029,6570000,17510000,6570000,low,0.0,linear
C002,Energy,Brazil,Scope 1,2030,6570000,17510000,6570000,low,0.0,linear
C002,Energy,Brazil,Scope 1,2031,6570000,17510000,6570000,low,0.0,linear
C002,Energy,Brazil,Scope 1,2032,6570000,17510000,6570000,low,0.0,linear
C002,Energy,Brazil,Scope 1,2033,6570000,17510000,6570000,low,0.0,linear
C002,Energy,Brazil,Scope 1,2034,6570000,17510000,6570000,low,0.0,linear
C002,Energy,Brazil,Scope 1,2035,6570000,17510000,6570000,low,0.0,linear
C002,Energy,Brazil,Scope 1,2036,6570000,17510000,6570000,low,0.0,linear
C002,Energy,Brazil,Scope 1,2037,6570000,17510000,6570000,low,0.0,linear
C002,Energy,Brazil,Scope 1,2038,6570000,17510000,6570000,low,0.0,linear
C002,Energy,Brazil,Scope 1,2039,6570000,17510000,6570000,low,0.0,linear
C002,Energy,Brazil,Scope 1,2040,6570000,17510000,6570000,low,0.0,linear
C002,Energy,Brazil,Scope 1,2041,6570000,17510000,6570000,low,0.0,linear
C002,Energy,Brazil,Scope 1,2042,6570000,17510000,6570000,low,0.0,linear
C002,Energy,Brazil,Scope 1,2043,6570000,17510000,6570000,low,0.0,linear
C002,Energy,Brazil,Scope 1,2044,6570000,17510000,6570000,low,0.0,linear
C002,Energy,Brazil,Scope 1,2045,6570000,17510000,6570000,low,0.0,linear
C002,Energy,Brazil,Scope 1,2046,6570000,17510000,6570000,low,0.0,linear
C002,Energy,Brazil,Scope 1,2047,6570000,17510000,6570000,low,0.0,linear
C002,Energy,Brazil,Scope 1,2048,6570000,17510000,6570000,low,0.0,linear
C002,Energy,Brazil,Scope 1,2049,6570000,17510000,6570000,low,0.0,linear
C002,Energy,Brazil,Scope 1,2050,6570000,17510000,6570000,low,0.0,linear
C002,Energy,Brazil,Scope 1,2025,6570000,17510000,6570000,med,0.01,linear
C002,Energy,Brazil,Scope 1,2026,6570000,17510000,6570000,med,0.01,linear
C002,Energy,Brazil,Scope 1,2027,6570000,17510000,6570000,med,0.01,linear
C002,Energy,Brazil,Scope 1,2028,6570000,17510000,6570000,med,0.01,linear
C002,Energy,Brazil,Scope 1,2029,6570000,17510000,6570000,med,0.01,linear
C002,Energy,Brazil,Scope 1,2030,6570000,17510000,6570000,med,0.01,linear
C002,Energy,Brazil,Scope 1,2031,6570000,17510000,6570000,med,0.01,linear
C002,Energy,Brazil,Scope 1,2032,6570000,17510000,6570000,med,0.01,linear
C002,Energy,Brazil,Scope 1,2033,6570000,17510000,6570000,med,0.01,linear
C002,Energy,Brazil,Scope 1,2034,6570000,17510000,6570000,med,0.01,linear
C002,Energy,Brazil,Scope 1,2035,6570000,17510000,6570000,med,0.01,linear
C002,Energy,Brazil,Scope 1,2036,6570000,17510000,6570000,med,0.01,linear
C002,Energy,Brazil,Scope 1,2037,6570000,17510000,6570000,med,0.01,linear
C002,Energy,Brazil,Scope 1,2038,6570000,17510000,6570000,med,0.01,linear
C002,Energy,Brazil,Scope 1,2039,6570000,17510000,6570000,med,0.01,linear
C002,Energy,Brazil,Scope 1,2040,6570000,17510000,6570000,med,0.01,linear
C002,Energy,Brazil,Scope 1,2041,6570000,17510000,6570000,med,0.01,linear
C002,Energy,Brazil,Scope 1,2042,6570000,17510000,6570000,med,0.01,linear
C002,Energy,Brazil,Scope 1,2043,6570000,17510000,6570000,med,0.01,linear
C002,Energy,Brazil,Scope 1,2044,6570000,17510000,6570000,med,0.01,linear
C002,Energy,Brazil,Scope 1,2045,6570000,17510000,6570000,med,0.01,linear
C002,Energy,Brazil,Scope 1,2046,6570000,17510000,6570000,med,0.01,linear
C002,Energy,Brazil,Scope 1,2047,6570000,17510000,6570000,med,0.01,linear
C002,Energy,Brazil,Scope 1,2048,6570000,17510000,6570000,med,0.01,linear
C002,Energy,Brazil,Scope 1,2049,6570000,17510000,6570000,med,0.01,linear
C002,Energy,Brazil,Scope 1,2050,6570000,17510000,6570000,med,0.01,linear
C002,Energy,Brazil,Scope 1,2025,6570000,17510000,6570000,high,0.02,linear
C002,Energy,Brazil,Scope 1,2026,6570000,17510000,6570000,high,0.02,linear
C002,Energy,Brazil,Scope 1,2027,6570000,17510000,6570000,high,0.02,linear
C002,Energy,Brazil,Scope 1,2028,6570000,17510000,6570000,high,0.02,linear
C002,Energy,Brazil,Scope 1,2029,6570000,17510000,6570000,high,0.02,linear
C002,Energy,Brazil,Scope 1,2030,6570000,17510000,6570000,high,0.02,linear
C002,Energy,Brazil,Scope 1,2031,6570000,17510000,6570000,high,0.02,linear
C002,Energy,Brazil,Scope 1,2032,6570000,17510000,6570000,high,0.02,linear
C002,Energy,Brazil,Scope 1,2033,6570000,17510000,6570000,high,0.02,linear
C002,Energy,Brazil,Scope 1,2034,6570000,17510000,6570000,high,0.02,linear
C002,Energy,Brazil,Scope 1,2035,6570000,17510000,6570000,high,0.02,linear
C002,Energy,Brazil,Scope 1,2036,6570000,17510000,6570000,high,0.02,linear
C002,Energy,Brazil,Scope 1,2037,6570000,17510000,6570000,high,0.02,linear
C002,Energy,Brazil,Scope 1,2038,6570000,17510000,6570000,high,0.02,linear
C002,Energy,Brazil,Scope 1,2039,6570000,17510000,6570000,high,0.02,linear
C002,Energy,Brazil,Scope 1,2040,6570000,17510000,6570000,high,0.02,linear
C002,Energy,Brazil,Scope 1,2041,6570000,17510000,6570000,high,0.02,linear
C002,Energy,Brazil,Scope 1,2042,6570000,17510000,6570000,high,0.02,linear
C002,Energy,Brazil,Scope 1,2043,6570000,17510000,6570000,high,0.02,linear
C002,Energy,Brazil,Scope 1,2044,6570000,17510000,6570000,high,0.02,linear
C002,Energy,Brazil,Scope 1,2045,6570000,17510000,6570000,high,0.02,linear
C002,Energy,Brazil,Scope 1,2046,6570000,17510000,6570000,high,0.02,linear
C002,Energy,Brazil,Scope 1,2047,6570000,17510000,6570000,high,0.02,linear
C002,Energy,Brazil,Scope 1,2048,6570000,17510000,6570000,high,0.02,linear
C002,Energy,Brazil,Scope 1,2049,6570000,17510000,6570000,high,0.02,linear
C002,Energy,Brazil,Scope 1,2050,6570000,17510000,6570000,high,0.02,linear
C003,Energy,EU,Scope 1,2025,19940000,7720000,19940000,low,0.0,linear
C003,Energy,EU,Scope 1,2026,19662435,7720000,19662435,low,0.0,linear
C003,Energy,EU,Scope 1,2027,19384870,7720000,19384870,low,0.0,linear
C003,Energy,EU,Scope 1,2028,19107306,7720000,19107306,low,0.0,linear
C003,Energy,EU,Scope 1,2029,18829741,7720000,18829741,low,0.0,linear
C003,Energy,EU,Scope 1,2030,18552176,7720000,18552176,low,0.0,linear
C003,Energy,EU,Scope 1,2031,18274611,7720000,18274611,low,0.0,linear
C003,Energy,EU,Scope 1,2032,17997046,7720000,17997046,low,0.0,linear
C003,Energy,EU,Scope 1,2033,17719482,7720000,17719482,low,0.0,linear
C003,Energy,EU,Scope 1,2034,17441917,7720000,17441917,low,0.0,linear
C003,Energy,EU,Scope 1,2035,17164352,7720000,17164352,low,0.0,linear
C003,Energy,EU,Scope 1,2036,16886787,7720000,16886787,low,0.0,linear
C003,Energy,EU,Scope 1,2037,16609222,7720000,16609222,low,0.0,linear
C003,Energy,EU,Scope 1,2038,16331658,7720000,16331658,low,0.0,linear
C003,Energy,EU,Scope 1,2039,16054093,7720000,16054093,low,0.0,linear
C003,Energy,EU,Scope 1,2040,15776528,7720000,15776528,low,0.0,linear
C003,Energy,EU,Scope 1,2041,15498963,7720000,15498963,low,0.0,linear
C003,Energy,EU,Scope 1,2042,15221398,7720000,15221398,low,0.0,linear
C003,Energy,EU,Scope 1,2043,14943834,7720000,14943834,low,0.0,linear
C003,Energy,EU,Scope 1,2044,14666269,7720000,14666269,low,0.0,linear
C003,Energy,EU,Scope 1,2045,14388704,7720000,14388704,low,0.0,linear
C003,Energy,EU,Scope 1,2046,14111139,7720000,14111139,low,0.0,linear
C003,Energy,EU,Scope 1,2047,13833574,7720000,13833574,low,0.0,linear
C003,Energy,EU,Scope 1,2048,13556010,7720000,13556010,low,0.0,linear
C003,Energy,EU,Scope 1,2049,13278445,7720000,13278445,low,0.0,linear
C003,Energy,EU,Scope 1,2050,13000880,7720000,13000880,low,0.0,linear
C003,Energy,EU,Scope 1,2025,19940000,7720000,19940000,med,0.01,linear
C003,Energy,EU,Scope 1,2026,19662435,7720000,19662435,med,0.01,linear
C003,Energy,EU,Scope 1,2027,19384870,7720000,19384870,med,0.01,linear
C003,Energy,EU,Scope 1,2028,19107306,7720000,19107306,med,0.01,linear
C003,Energy,EU,Scope 1,2029,18829741,7720000,18829741,med,0.01,linear
C003,Energy,EU,Scope 1,2030,18552176,7720000,18552176,med,0.01,linear
C003,Energy,EU,Scope 1,2031,18274611,7720000,18274611,med,0.01,linear
C003,Energy,EU,Scope 1,2032,17997046,7720000,17997046,med,0.01,linear
C003,Energy,EU,Scope 1,2033,17719482,7720000,17719482,med,0.01,linear
C003,Energy,EU,Scope 1,2034,17441917,7720000,17441917,med,0.01,linear
C003,Energy,EU,Scope 1,2035,17164352,7720000,17164352,med,0.01,linear
C003,Energy,EU,Scope 1,2036,16886787,7720000,16886787,med,0.01,linear
C003,Energy,EU,Scope 1,2037,16609222,7720000,16609222,med,0.01,linear
C003,Energy,EU,Scope 1,2038,16331658,7720000,16331658,med,0.01,linear
C003,Energy,EU,Scope 1,2039,16054093,7720000,16054093,med,0.01,linear
C003,Energy,EU,Scope 1,2040,15776528,7720000,15776528,med,0.01,linear
C003,Energy,EU,Scope 1,2041,15498963,7720000,15498963,med,0.01,linear
C003,Energy,EU,Scope 1,2042,15221398,7720000,15221398,med,0.01,linear
C003,Energy,EU,Scope 1,2043,14943834,7720000,14943834,med,0.01,linear
C003,Energy,EU,Scope 1,2044,14666269,7720000,14666269,med,0.01,linear
C003,Energy,EU,Scope 1,2045,14388704,7720000,14388704,med,0.01,linear
C003,Energy,EU,Scope 1,2046,14111139,7720000,14111139,med,0.01,linear
C003,Energy,EU,Scope 1,2047,13833574,7720000,13833574,med,0.01,linear
C003,Energy,EU,Scope 1,2048,13556010,7720000,13556010,med,0.01,linear
C003,Energy,EU,Scope 1,2049,13278445,7720000,13278445,med,0.01,linear
C003,Energy,EU,Scope 1,2050,13000880,7720000,13000880,med,0.01,linear
C003,Energy,EU,Scope 1,2025,19940000,7720000,19940000,high,0.02,linear
C003,Energy,EU,Scope 1,2026,19662435,7720000,19662435,high,0.02,linear
C003,Energy,EU,Scope 1,2027,19384870,7720000,19384870,high,0.02,linear
C003,Energy,EU,Scope 1,2028,19107306,7720000,19107306,high,0.02,linear
C003,Energy,EU,Scope 1,2029,18829741,7720000,18829741,high,0.02,linear
C003,Energy,EU,Scope 1,2030,18552176,7720000,18552176,high,0.02,linear
C003,Energy,EU,Scope 1,2031,18274611,7720000,18274611,high,0.02,linear
C003,Energy,EU,Scope 1,2032,17997046,7720000,17997046,high,0.02,linear
C003,Energy,EU,Scope 1,2033,17719482,7720000,17719482,high,0.02,linear
C003,Energy,EU,Scope 1,2034,17441917,7720000,17441917,high,0.02,linear
C003,Energy,EU,Scope 1,2035,17164352,7720000,17164352,high,0.02,linear
C003,Energy,EU,Scope 1,2036,16886787,7720000,16886787,high,0.02,linear
C003,Energy,EU,Scope 1,2037,16609222,7720000,16609222,high,0.02,linear
C003,Energy,EU,Scope 1,2038,16331658,7720000,16331658,high,0.02,linear
C003,Energy,EU,Scope 1,2039,16054093,7720000,16054093,high,0.02,linear
C003,Energy,EU,Scope 1,2040,15776528,7720000,15776528,high,0.02,linear
C003,Energy,EU,Scope 1,2041,15498963,7720000,15498963,high,0.02,linear
C003,Energy,EU,Scope 1,2042,15221398,7720000,15221398,high,0.02,linear
C003,Energy,EU,Scope 1,2043,14943834,7720000,14943834,high,0.02,linear
C003,Energy,EU,Scope 1,2044,14666269,7720000,14666269,high,0.02,linear
C003,Energy,EU,Scope 1,2045,14388704,7720000,14388704,high,0.02,linear
C003,Energy,EU,Scope 1,2046,14111139,7720000,14111139,high,0.02,linear
C003,Energy,EU,Scope 1,2047,13833574,7720000,13833574,high,0.02,linear
C003,Energy,EU,Scope 1,2048,13556010,7720000,13556010,high,0.02,linear
C003,Energy,EU,Scope 1,2049,13278445,7720000,13278445,high,0.02,linear
C003,Energy,EU,Scope 1,2050,13000880,7720000,13000880,high,0.02,linear
C003,Energy,EU,Scope 2,2025,19940000,7720000,7720000,low,0.0,linear
C003,Energy,EU,Scope 2,2026,19940000,7324736,7324736,low,0.0,linear
C003,Energy,EU,Scope 2,2027,19940000,6929472,6929472,low,0.0,linear
C003,Energy,EU,Scope 2,2028,19940000,6534208,6534208,low,0.0,linear
C003,Energy,EU,Scope 2,2029,19940000,6138944,6138944,low,0.0,linear
C003,Energy,EU,Scope 2,2030,19940000,5743680,5743680,low,0.0,linear
C003,Energy,EU,Scope 2,2031,19940000,5743680,5743680,low,0.0,linear
C003,Energy,EU,Scope 2,2032,19940000,5743680,5743680,low,0.0,linear
C003,Energy,EU,Scope 2,2033,19940000,5743680,5743680,low,0.0,linear
C003,Energy,EU,Scope 2,2034,19940000,5743680,5743680,low,0.0,linear
C003,Energy,EU,Scope 2,2035,19940000,5743680,5743680,low,0.0,linear
C003,Energy,EU,Scope 2,2036,19940000,5743680,5743680,low,0.0,linear
C003,Energy,EU,Scope 2,2037,19940000,5743680,5743680,low,0.0,linear
C003,Energy,EU,Scope 2,2038,19940000,5743680,5743680,low,0.0,linear
C003,Energy,EU,Scope 2,2039,19940000,5743680,5743680,low,0.0,linear
C003,Energy,EU,Scope 2,2040,19940000,5743680,5743680,low,0.0,linear
C003,Energy,EU,Scope 2,2041,19940000,5743680,5743680,low,0.0,linear
C003,Energy,EU,Scope 2,2042,19940000,5743680,5743680,low,0.0,linear
C003,Energy,EU,Scope 2,2043,19940000,5743680,5743680,low,0.0,linear
C003,Energy,EU,Scope 2,2044,19940000,5743680,5743680,low,0.0,linear
C003,Energy,EU,Scope 2,2045,19940000,5743680,5743680,low,0.0,linear
C003,Energy,EU,Scope 2,2046,19940000,5743680,5743680,low,0.0,linear
C003,Energy,EU,Scope 2,2047,19940000,5743680,5743680,low,0.0,linear
C003,Energy,EU,Scope 2,2048,19940000,5743680,5743680,low,0.0,linear
C003,Energy,EU,Scope 2,2049,19940000,5743680,5743680,low,0.0,linear
C003,Energy,EU,Scope 2,2050,19940000,5743680,5743680,low,0.0,linear
C003,Energy,EU,Scope 2,2025,19940000,7720000,7720000,med,0.01,linear
C003,Energy,EU,Scope 2,2026,19940000,7324736,7324736,med,0.01,linear
C003,Energy,EU,Scope 2,2027,19940000,6929472,6929472,med,0.01,linear
C003,Energy,EU,Scope 2,2028,19940000,6534208,6534208,med,0.01,linear
C003,Energy,EU,Scope 2,2029,19940000,6138944,6138944,med,0.01,linear
C003,Energy,EU,Scope 2,2030,19940000,5743680,5743680,med,0.01,linear
C003,Energy,EU,Scope 2,2031,19940000,5743680,5743680,med,0.01,linear
C003,Energy,EU,Scope 2,2032,19940000,5743680,5743680,med,0.01,linear
C003,Energy,EU,Scope 2,2033,19940000,5743680,5743680,med,0.01,linear
C003,Energy,EU,Scope 2,2034,19940000,5743680,5743680,med,0.01,linear
C003,Energy,EU,Scope 2,2035,19940000,5743680,5743680,med,0.01,linear
C003,Energy,EU,Scope 2,2036,19940000,5743680,5743680,med,0.01,linear
C003,Energy,EU,Scope 2,2037,19940000,5743680,5743680,med,0.01,linear
C003,Energy,EU,Scope 2,2038,19940000,5743680,5743680,med,0.01,linear
C003,Energy,EU,Scope 2,2039,19940000,5743680,5743680,med,0.01,linear
C003,Energy,EU,Scope 2,2040,19940000,5743680,5743680,med,0.01,linear
C003,Energy,EU,Scope 2,2041,19940000,5743680,5743680,med,0.01,linear
C003,Energy,EU,Scope 2,2042,19940000,5743680,5743680,med,0.01,linear
C003,Energy,EU,Scope 2,2043,19940000,5743680,5743680,med,0.01,linear
C003,Energy,EU,Scope 2,2044,19940000,5743680,5743680,med,0.01,linear
C003,Energy,EU,Scope 2,2045,19940000,5743680,5743680,med,0.01,linear
C003,Energy,EU,Scope 2,2046,19940000,5743680,5743680,med,0.01,linear
C003,Energy,EU,Scope 2,2047,19940000,5743680,5743680,med,0.01,linear
C003,Energy,EU,Scope 2,2048,19940000,5743680,5743680,med,0.01,linear
C003,Energy,EU,Scope 2,2049,19940000,5743680,5743680,med,0.01,linear
C003,Energy,EU,Scope 2,2050,19940000,5743680,5743680,med,0.01,linear
C003,Energy,EU,Scope 2,2025,19940000,7720000,7720000,high,0.02,linear
C003,Energy,EU,Scope 2,2026,19940000,7324736,7324736,high,0.02,linear
C003,Energy,EU,Scope 2,2027,19940000,6929472,6929472,high,0.02,linear
C003,Energy,EU,Scope 2,2028,19940000,6534208,6534208,high,0.02,linear
C003,Energy,EU,Scope 2,2029,19940000,6138944,6138944,high,0.02,linear
C003,Energy,EU,Scope 2,2030,19940000,5743680,5743680,high,0.02,linear
C003,Energy,EU,Scope 2,2031,19940000,5743680,5743680,high,0.02,linear
C003,Energy,EU,Scope 2,2032,19940000,5743680,5743680,high,0.02,linear
C003,Energy,EU,Scope 2,2033,19940000,5743680,5743680,high,0.02,linear
C003,Energy,EU,Scope 2,2034,19940000,5743680,5743680,high,0.02,linear
C003,Energy,EU,Scope 2,2035,19940000,5743680,5743680,high,0.02,linear
C003,Energy,EU,Scope 2,2036,19940000,5743680,5743680,high,0.02,linear
C003,Energy,EU,Scope 2,2037,19940000,5743680,5743680,high,0.02,linear
C003,Energy,EU,Scope 2,2038,19940000,5743680,5743680,high,0.02,linear
C003,Energy,EU,Scope 2,2039,19940000,5743680,5743680,high,0.02,linear
C003,Energy,EU,Scope 2,2040,19940000,5743680,5743680,high,0.02,linear
C003,Energy,EU,Scope 2,2041,19940000,5743680,5743680,high,0.02,linear
C003,Energy,EU,Scope 2,2042,19940000,5743680,5743680,high,0.02,linear
C003,Energy,EU,Scope 2,2043,19940000,5743680,5743680,high,0.02,linear
C003,Energy,EU,Scope 2,2044,19940000,5743680,5743680,high,0.02,linear
C003,Energy,EU,Scope 2,2045,19940000,5743680,5743680,high,0.02,linear
C003,Energy,EU,Scope 2,2046,19940000,5743680,5743680,high,0.02,linear
C003,Energy,EU,Scope 2,2047,19940000,5743680,5743680,high,0.02,linear
C003,Energy,EU,Scope 2,2048,19940000,5743680,5743680,high,0.02,linear
C003,Energy,EU,Scope 2,2049,19940000,5743680,5743680,high,0.02,linear
C003,Energy,EU,Scope 2,2050,19940000,5743680,5743680,high,0.02,linear
C004,Consumer Discretionary,Unknown,Scope 2,2025,13340000,17140000,17140000,low,0.0,linear
C004,Consumer Discretionary,Unknown,Scope 2,2026,13340000,17011107,17011107,low,0.0,linear
C004,Consumer Discretionary,Unknown,Scope 2,2027,13340000,16882214,16882214,low,0.0,linear
C004,Consumer Discretionary,Unknown,Scope 2,2028,13340000,16753322,16753322,low,0.0,linear
C004,Consumer Discretionary,Unknown,Scope 2,2029,13340000,16624429,16624429,low,0.0,linear
C004,Consumer Discretionary,Unknown,Scope 2,2030,13340000,16495536,16495536,low,0.0,linear
C004,Consumer Discretionary,Unknown,Scope 2,2031,13340000,16366643,16366643,low,0.0,linear
C004,Consumer Discretionary,Unknown,Scope 2,2032,13340000,16237750,16237750,low,0.0,linear
C004,Consumer Discretionary,Unknown,Scope 2,2033,13340000,16108858,16108858,low,0.0,linear
C004,Consumer Discretionary,Unknown,Scope 2,2034,13340000,15979965,15979965,low,0.0,linear
C004,Consumer Discretionary,Unknown,Scope 2,2035,13340000,15851072,15851072,low,0.0,linear
C004,Consumer Discretionary,Unknown,Scope 2,2036,13340000,15722179,15722179,low,0.0,linear
C004,Consumer Discretionary,Unknown,Scope 2,2037,13340000,15593286,15593286,low,0.0,linear
C004,Consumer Discretionary,Unknown,Scope 2,2038,13340000,15464394,15464394,low,0.0,linear
C004,Consumer Discretionary,Unknown,Scope 2,2039,13340000,15335501,15335501,low,0.0,linear
C004,Consumer Discretionary,Unknown,Scope 2,2040,13340000,15206608,15206608,low,0.0,linear
C004,Consumer Discretionary,Unknown,Scope 2,2041,13340000,15077715,15077715,low,0.0,linear
C004,Consumer Discretionary,Unknown,Scope 2,2042,13340000,14948822,14948822,low,0.0,linear
C004,Consumer Discretionary,Unknown,Scope 2,2043,13340000,14819930,14819930,low,0.0,linear
C004,Consumer Discretionary,Unknown,Scope 2,2044,13340000,14691037,14691037,low,0.0,linear
C004,Consumer Discretionary,Unknown,Scope 2,2045,13340000,14562144,14562144,low,0.0,linear
C004,Consumer Discretionary,Unknown,Scope 2,2046,13340000,14433251,14433251,low,0.0,linear
C004,Consumer Discretionary,Unknown,Scope 2,2047,13340000,14304358,14304358,low,0.0,linear
C004,Consumer Discretionary,Unknown,Scope 2,2048,13340000,14175466,14175466,low,0.0,linear
C004,Consumer Discretionary,Unknown,Scope 2,2049,13340000,14046573,14046573,low,0.0,linear
