technology,new_build,tonnes,plant_capacity,capex_usd,opex_usd_year,cost_per_tonne_abated,abatement_tech_sector,uid,year,region,gics_sector
Utility-scale Solar,False,109552,109552,0.0,4844389.4399999995,44.21999999999999,Energy,C003,2028,EU,Energy
Carbon Capture and Storage,True,50000,50000,340980000.0,5258000.0,6924.76,Energy,C003,2028,EU,Energy
Utility-scale Solar,True,18012,54776,558640000.0,796490.64,10242.847135971957,Energy,C003,2028,EU,Energy
Carbon Capture and Storage,False,150000,150000,0.0,15774000.0,105.16,Energy,C003,2029,EU,Energy
Utility-scale Solar,False,127565,164328,0.0,5640924.3,44.22,Energy,C003,2029,EU,Energy
Carbon Capture and Storage,False,150000,150000,0.0,15774000.0,105.16,Energy,C003,2030,EU,Energy
Utility-scale Solar,False,127565,164328,0.0,5640924.3,44.22,Energy,C003,2030,EU,Energy
Carbon Capture and Storage,False,150000,150000,0.0,15774000.0,105.16,Energy,C003,2031,EU,Energy
Utility-scale Solar,False,127565,164328,0.0,5640924.3,44.22,Energy,C003,2031,EU,Energy
Carbon Capture and Storage,False,150000,150000,0.0,15774000.0,105.16,Energy,C003,2032,EU,Energy
Utility-scale Solar,False,127565,164328,0.0,5640924.3,44.22,Energy,C003,2032,EU,Energy
Carbon Capture and Storage,False,150000,150000,0.0,15774000.0,105.16,Energy,C003,2033,EU,Energy
Utility-scale Solar,False,127564,164328,0.0,5640880.08,44.22,Energy,C003,2033,EU,Energy
Carbon Capture and Storage,False,150000,150000,0.0,15774000.0,105.16,Energy,C003,2034,EU,Energy
Utility-scale Solar,False,127565,164328,0.0,5640924.3,44.22,Energy,C003,2034,EU,Energy
Carbon Capture and Storage,False,150000,150000,0.0,15774000.0,105.16,Energy,C003,2035,EU,Energy
Utility-scale Solar,False,127565,164328,0.0,5640924.3,44.22,Energy,C003,2035,EU,Energy
Carbon Capture and Storage,False,150000,150000,0.0,15774000.0,105.16,Energy,C003,2036,EU,Energy
Utility-scale Solar,False,127565,164328,0.0,5640924.3,44.22,Energy,C003,2036,EU,Energy
Carbon Capture and Storage,False,150000,150000,0.0,15774000.0,105.16,Energy,C003,2037,EU,Energy
Utility-scale Solar,False,127565,164328,0.0,5640924.3,44.22,Energy,C003,2037,EU,Energy
Carbon Capture and Storage,False,150000,150000,0.0,15774000.0,105.16,Energy,C003,2038,EU,Energy
Utility-scale Solar,False,127564,164328,0.0,5640880.08,44.22,Energy,C003,2038,EU,Energy
Carbon Capture and Storage,False,150000,150000,0.0,15774000.0,105.16,Energy,C003,2039,EU,Energy
Utility-scale Solar,False,127565,164328,0.0,5640924.3,44.22,Energy,C003,2039,EU,Energy
Carbon Capture and Storage,False,150000,150000,0.0,15774000.0,105.16,Energy,C003,2040,EU,Energy
Utility-scale Solar,False,127565,164328,0.0,5640924.3,44.22,Energy,C003,2040,EU,Energy
Carbon Capture and Storage,False,150000,150000,0.0,15774000.0,105.16,Energy,C003,2041,EU,Energy
Utility-scale Solar,False,127565,164328,0.0,5640924.3,44.22,Energy,C003,2041,EU,Energy
Carbon Capture and Storage,False,150000,150000,0.0,15774000.0,105.16,Energy,C003,2042,EU,Energy
Utility-scale Solar,False,127565,164328,0.0,5640924.3,44.22,Energy,C003,2042,EU,Energy
Carbon Capture and Storage,False,150000,150000,0.0,15774000.0,105.16,Energy,C003,2043,EU,Energy
Utility-scale Solar,False,127564,164328,0.0,5640880.08,44.22,Energy,C003,2043,EU,Energy
Carbon Capture and Storage,False,150000,150000,0.0,15774000.0,105.16,Energy,C003,2044,EU,Energy
Utility-scale Solar,False,127565,164328,0.0,5640924.3,44.22,Energy,C003,2044,EU,Energy
Carbon Capture and Storage,False,150000,150000,0.0,15774000.0,105.16,Energy,C003,2045,EU,Energy
Utility-scale Solar,False,127565,164328,0.0,5640924.3,44.22,Energy,C003,2045,EU,Energy
Carbon Capture and Storage,False,150000,150000,0.0,15774000.0,105.16,Energy,C003,2046,EU,Energy
Utility-scale Solar,False,127565,164328,0.0,5640924.3,44.22,Energy,C003,2046,EU,Energy
Carbon Capture and Storage,False,150000,150000,0.0,15774000.0,105.16,Energy,C003,2047,EU,Energy
Utility-scale Solar,False,127565,164328,0.0,5640924.3,44.22,Energy,C003,2047,EU,Energy
Carbon Capture and Storage,False,150000,150000,0.0,15774000.0,105.16,Energy,C003,2048,EU,Energy
Utility-scale Solar,False,127564,164328,0.0,5640880.08,44.22,Energy,C003,2048,EU,Energy
Carbon Capture and Storage,False,150000,150000,0.0,15774000.0,105.16,Energy,C003,2049,EU,Energy
Utility-scale Solar,False,127565,164328,0.0,5640924.3,44.22,Energy,C003,2049,EU,Energy
Carbon Capture and Storage,False,150000,150000,0.0,15774000.0,105.16,Energy,C003,2050,EU,Energy
Utility-scale Solar,False,127565,164328,0.0,5640924.3,44.22,Energy,C003,2050,EU,Energy
Heat Pumps,True,10804,10804,63060000.0,379544.52,5871.857138097002,Consumer Discretionary,C004,2026,Unknown,Consumer Discretionary
EV Fleet Transition,True,11220,11220,130039999.99999999,1307915.4,11706.58782531194,Consumer Discretionary,C004,2026,Unknown,Consumer Discretionary
Heat Pumps,False,10804,10804,0.0,379544.52,35.13,Consumer Discretionary,C004,2027,Unknown,Consumer Discretionary
EV Fleet Transition,False,11220,11220,0.0,1307915.4,116.57,Consumer Discretionary,C004,2027,Unknown,Consumer Discretionary
Heat Pumps,True,10804,10804,63060000.0,379544.52,5871.857138097002,Consumer Discretionary,C004,2027,Unknown,Consumer Discretionary
EV Fleet Transition,True,11220,11220,130039999.99999999,1307915.4,11706.58782531194,Consumer Discretionary,C004,2027,Unknown,Consumer Discretionary
Heat Pumps,False,21608,21608,0.0,759089.04,35.13,Consumer Discretionary,C004,2028,Unknown,Consumer Discretionary
EV Fleet Transition,False,22440,22440,0.0,2615830.8,116.57,Consumer Discretionary,C004,2028,Unknown,Consumer Discretionary
Heat Pumps,True,10804,10804,63060000.0,379544.52,5871.857138097002,Consumer Discretionary,C004,2028,Unknown,Consumer Discretionary
EV Fleet Transition,True,11220,11220,130039999.99999999,1307915.4,11706.58782531194,Consumer Discretionary,C004,2028,Unknown,Consumer Discretionary
Heat Pumps,False,32412,32412,0.0,1138633.56,35.13,Consumer Discretionary,C004,2029,Unknown,Consumer Discretionary
EV Fleet Transition,False,33660,33660,0.0,3923746.1999999997,116.57,Consumer Discretionary,C004,2029,Unknown,Consumer Discretionary
Heat Pumps,True,10804,10804,63060000.0,379544.52,5871.857138097002,Consumer Discretionary,C004,2029,Unknown,Consumer Discretionary
EV Fleet Transition,True,11220,11220,130039999.99999999,1307915.4,11706.58782531194,Consumer Discretionary,C004,2029,Unknown,Consumer Discretionary
Heat Pumps,False,43216,43216,0.0,1518178.08,35.13,Consumer Discretionary,C004,2030,Unknown,Consumer Discretionary
EV Fleet Transition,False,44880,44880,0.0,5231661.6,116.57,Consumer Discretionary,C004,2030,Unknown,Consumer Discretionary
Heat Pumps,True,10804,10804,63060000.0,379544.52,5871.857138097002,Consumer Discretionary,C004,2030,Unknown,Consumer Discretionary
EV Fleet Transition,True,11220,11220,130039999.99999999,1307915.4,11706.58782531194,Consumer Discretionary,C004,2030,Unknown,Consumer Discretionary
Heat Pumps,False,54020,54020,0.0,1897722.6,35.13,Consumer Discretionary,C004,2031,Unknown,Consumer Discretionary
EV Fleet Transition,False,56100,56100,0.0,6539577.0,116.57,Consumer Discretionary,C004,2031,Unknown,Consumer Discretionary
Heat Pumps,True,10804,10804,63060000.0,379544.52,5871.857138097002,Consumer Discretionary,C004,2031,Unknown,Consumer Discretionary
EV Fleet Transition,True,7969,11220,130039999.99999999,928946.33,11706.58782531194,Consumer Discretionary,C004,2031,Unknown,Consumer Discretionary
Heat Pumps,False,64824,64824,0.0,2277267.12,35.13,Consumer Discretionary,C004,2032,Unknown,Consumer Discretionary
EV Fleet Transition,False,64069,67320,0.0,7468523.329999999,116.57,Consumer Discretionary,C004,2032,Unknown,Consumer Discretionary
Heat Pumps,False,64824,64824,0.0,2277267.12,35.13,Consumer Discretionary,C004,2033,Unknown,Consumer Discretionary
EV Fleet Transition,False,64068,67320,0.0,7468406.76,116.57,Consumer Discretionary,C004,2033,Unknown,Consumer Discretionary
Heat Pumps,False,64824,64824,0.0,2277267.12,35.13,Consumer Discretionary,C004,2034,Unknown,Consumer Discretionary
EV Fleet Transition,False,64069,67320,0.0,7468523.329999999,116.57,Consumer Discretionary,C004,2034,Unknown,Consumer Discretionary
Heat Pumps,False,64824,64824,0.0,2277267.12,35.13,Consumer Discretionary,C004,2035,Unknown,Consumer Discretionary
EV Fleet Transition,False,64069,67320,0.0,7468523.329999999,116.57,Consumer Discretionary,C004,2035,Unknown,Consumer Discretionary
Heat Pumps,False,64824,64824,0.0,2277267.12,35.13,Consumer Discretionary,C004,2036,Unknown,Consumer Discretionary
EV Fleet Transition,False,64069,67320,0.0,7468523.329999999,116.57,Consumer Discretionary,C004,2036,Unknown,Consumer Discretionary
Heat Pumps,False,64824,64824,0.0,2277267.12,35.13,Consumer Discretionary,C004,2037,Unknown,Consumer Discretionary
EV Fleet Transition,False,64069,67320,0.0,7468523.329999999,116.57,Consumer Discretionary,C004,2037,Unknown,Consumer Discretionary
Heat Pumps,False,64824,64824,0.0,2277267.12,35.13,Consumer Discretionary,C004,2038,Unknown,Consumer Discretionary
EV Fleet Transition,False,64068,67320,0.0,7468406.76,116.57,Consumer Discretionary,C004,2038,Unknown,Consumer Discretionary
Heat Pumps,False,64824,64824,0.0,2277267.12,35.13,Consumer Discretionary,C004,2039,Unknown,Consumer Discretionary
EV Fleet Transition,False,64069,67320,0.0,7468523.329999999,116.57,Consumer Discretionary,C004,2039,Unknown,Consumer Discretionary
Heat Pumps,False,64824,64824,0.0,2277267.12,35.13,Consumer Discretionary,C004,2040,Unknown,Consumer Discretionary
EV Fleet Transition,False,64069,67320,0.0,7468523.329999999,116.57,Consumer Discretionary,C004,2040,Unknown,Consumer Discretionary
Heat Pumps,False,64824,64824,0.0,2277267.12,35.13,Consumer Discretionary,C004,2041,Unknown,Consumer Discretionary
EV Fleet Transition,False,64069,67320,0.0,7468523.329999999,116.57,Consumer Discretionary,C004,2041,Unknown,Consumer Discretionary
Heat Pumps,False,64824,64824,0.0,2277267.12,35.13,Consumer Discretionary,C004,2042,Unknown,Consumer Discretionary
EV Fleet Transition,False,64069,67320,0.0,7468523.329999999,116.57,Consumer Discretionary,C004,2042,Unknown,Consumer Discretionary
Heat Pumps,False,64824,64824,0.0,2277267.12,35.13,Consumer Discretionary,C004,2043,Unknown,Consumer Discretionary
EV Fleet Transition,False,64068,67320,0.0,7468406.76,116.57,Consumer Discretionary,C004,2043,Unknown,Consumer Discretionary
Heat Pumps,False,64824,64824,0.0,2277267.12,35.13,Consumer Discretionary,C004,2044,Unknown,Consumer Discretionary
EV Fleet Transition,False,64069,67320,0.0,7468523.329999999,116.57,Consumer Discretionary,C004,2044,Unknown,Consumer Discretionary
Heat Pumps,False,64824,64824,0.0,2277267.12,35.13,Consumer Discretionary,C004,2045,Unknown,Consumer Discretionary
EV Fleet Transition,False,64069,67320,0.0,7468523.329999999,116.57,Consumer Discretionary,C004,2045,Unknown,Consumer Discretionary
Heat Pumps,False,64824,64824,0.0,2277267.12,35.13,Consumer Discretionary,C004,2046,Unknown,Consumer Discretionary
EV Fleet Transition,False,64069,67320,0.0,7468523.329999999,116.57,Consumer Discretionary,C004,2046,Unknown,Consumer Discretionary
Heat Pumps,False,64824,64824,0.0,2277267.12,35.13,Consumer Discretionary,C004,2047,Unknown,Consumer Discretionary
EV Fleet Transition,False,64069,67320,0.0,7468523.329999999,116.57,Consumer Discretionary,C004,2047,Unknown,Consumer Discretionary
Heat Pumps,False,64824,64824,0.0,2277267.12,35.13,Consumer Discretionary,C004,2048,Unknown,Consumer Discretionary
EV Fleet Transition,False,64068,67320,0.0,7468406.76,116.57,Consumer Discretionary,C004,2048,Unknown,Consumer Discretionary
Heat Pumps,False,64824,64824,0.0,2277267.12,35.13,Consumer Discretionary,C004,2049,Unknown,Consumer Discretionary
EV Fleet Transition,False,64069,67320,0.0,7468523.329999999,116.57,Consumer Discretionary,C004,2049,Unknown,Consumer Discretionary
Heat Pumps,False,64824,64824,0.0,2277267.12,35.13,Consumer Discretionary,C004,2050,Unknown,Consumer Discretionary
EV Fleet Transition,False,64069,67320,0.0,7468523.329999999,116.57,Consumer Discretionary,C004,2050,Unknown,Consumer Discretionary
Hydrogen Fuel,True,38602,38602,121710000.0,5813075.18,3303.535443241283,Materials,C006,2026,Brazil,Materials
Process Electrification,True,39737,39737,325880000.0,3112201.84,8279.241055942824,Materials,C006,2026,Brazil,Materials
Hydrogen Fuel,False,38602,38602,0.0,5813075.18,150.59,Materials,C006,2027,Brazil,Materials
Process Electrification,False,39737,39737,0.0,3112201.84,78.32,Materials,C006,2027,Brazil,Materials
Hydrogen Fuel,True,38602,38602,121710000.0,5813075.18,3303.535443241283,Materials,C006,2027,Brazil,Materials
Process Electrification,True,39737,39737,325880000.0,3112201.84,8279.241055942824,Materials,C006,2027,Brazil,Materials
Hydrogen Fuel,False,77204,77204,0.0,11626150.36,150.59,Materials,C006,2028,Brazil,Materials
Process Electrification,False,79474,79474,0.0,6224403.68,78.32,Materials,C006,2028,Brazil,Materials
Hydrogen Fuel,True,38602,38602,121710000.0,5813075.18,3303.535443241283,Materials,C006,2028,Brazil,Materials
Process Electrification,True,39737,39737,325880000.0,3112201.84,8279.241055942824,Materials,C006,2028,Brazil,Materials
Hydrogen Fuel,False,115806,115806,0.0,17439225.54,150.59,Materials,C006,2029,Brazil,Materials
Process Electrification,False,119211,119211,0.0,9336605.52,78.32,Materials,C006,2029,Brazil,Materials
Hydrogen Fuel,True,38602,38602,121710000.0,5813075.18,3303.535443241283,Materials,C006,2029,Brazil,Materials
Process Electrification,True,39737,39737,325880000.0,3112201.84,8279.241055942824,Materials,C006,2029,Brazil,Materials
Hydrogen Fuel,False,154408,154408,0.0,23252300.72,150.59,Materials,C006,2030,Brazil,Materials
Process Electrification,False,158948,158948,0.0,12448807.36,78.32,Materials,C006,2030,Brazil,Materials
Hydrogen Fuel,True,38602,38602,121710000.0,5813075.18,3303.535443241283,Materials,C006,2030,Brazil,Materials
Process Electrification,True,39737,39737,325880000.0,3112201.84,8279.241055942824,Materials,C006,2030,Brazil,Materials
Energy Efficiency Upgrades,True,39466,39466,77400000.0,1856085.98,2008.2117767192012,Industrials,C008,2026,Global,Industrials
Electrification of Equipment,True,13564,13564,93520000.0,889662.76,6960.311321144205,Industrials,C008,2026,Global,Industrials
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C008,2027,Global,Industrials
Electrification of Equipment,False,13564,13564,0.0,889662.76,65.59,Industrials,C008,2027,Global,Industrials
Energy Efficiency Upgrades,True,39466,39466,77400000.0,1856085.98,2008.2117767192012,Industrials,C008,2027,Global,Industrials
Electrification of Equipment,True,13564,13564,93520000.0,889662.76,6960.311321144205,Industrials,C008,2027,Global,Industrials
Energy Efficiency Upgrades,False,78932,78932,0.0,3712171.96,47.03,Industrials,C008,2028,Global,Industrials
Electrification of Equipment,False,27128,27128,0.0,1779325.52,65.59,Industrials,C008,2028,Global,Industrials
Energy Efficiency Upgrades,True,39466,39466,77400000.0,1856085.98,2008.2117767192012,Industrials,C008,2028,Global,Industrials
Electrification of Equipment,True,13564,13564,93520000.0,889662.76,6960.311321144205,Industrials,C008,2028,Global,Industrials
Energy Efficiency Upgrades,False,118398,118398,0.0,5568257.94,47.03,Industrials,C008,2029,Global,Industrials
Electrification of Equipment,False,40692,40692,0.0,2668988.2800000003,65.59,Industrials,C008,2029,Global,Industrials
Energy Efficiency Upgrades,True,39466,39466,77400000.0,1856085.98,2008.2117767192012,Industrials,C008,2029,Global,Industrials
Electrification of Equipment,True,13564,13564,93520000.0,889662.76,6960.311321144205,Industrials,C008,2029,Global,Industrials
Energy Efficiency Upgrades,False,157864,157864,0.0,7424343.92,47.03,Industrials,C008,2030,Global,Industrials
Electrification of Equipment,False,54256,54256,0.0,3558651.04,65.59,Industrials,C008,2030,Global,Industrials
Energy Efficiency Upgrades,True,39466,39466,77400000.0,1856085.98,2008.2117767192012,Industrials,C008,2030,Global,Industrials
Electrification of Equipment,True,13564,13564,93520000.0,889662.76,6960.311321144205,Industrials,C008,2030,Global,Industrials
Carbon Capture and Storage,True,291275,407301,212870000.0,21877665.25,597.7455938237323,Energy,C009,2026,India,Energy
Carbon Capture and Storage,False,291276,407301,0.0,21877740.36,75.11,Energy,C009,2027,India,Energy
Carbon Capture and Storage,False,291276,407301,0.0,21877740.36,75.11,Energy,C009,2028,India,Energy
Carbon Capture and Storage,False,291276,407301,0.0,21877740.36,75.11,Energy,C009,2029,India,Energy
Carbon Capture and Storage,False,291275,407301,0.0,21877665.25,75.11,Energy,C009,2030,India,Energy
Carbon Capture and Storage,False,291275,407301,0.0,21877665.25,75.11,Energy,C009,2031,India,Energy
Carbon Capture and Storage,False,291276,407301,0.0,21877740.36,75.11,Energy,C009,2032,India,Energy
Carbon Capture and Storage,False,291276,407301,0.0,21877740.36,75.11,Energy,C009,2033,India,Energy
Carbon Capture and Storage,False,291276,407301,0.0,21877740.36,75.11,Energy,C009,2034,India,Energy
Carbon Capture and Storage,False,291275,407301,0.0,21877665.25,75.11,Energy,C009,2035,India,Energy
Carbon Capture and Storage,False,291275,407301,0.0,21877665.25,75.11,Energy,C009,2036,India,Energy
Carbon Capture and Storage,False,291276,407301,0.0,21877740.36,75.11,Energy,C009,2037,India,Energy
Carbon Capture and Storage,False,291276,407301,0.0,21877740.36,75.11,Energy,C009,2038,India,Energy
Carbon Capture and Storage,False,291276,407301,0.0,21877740.36,75.11,Energy,C009,2039,India,Energy
Carbon Capture and Storage,False,291275,407301,0.0,21877665.25,75.11,Energy,C009,2040,India,Energy
Carbon Capture and Storage,False,291275,407301,0.0,21877665.25,75.11,Energy,C009,2041,India,Energy
Carbon Capture and Storage,False,291276,407301,0.0,21877740.36,75.11,Energy,C009,2042,India,Energy
Carbon Capture and Storage,False,291276,407301,0.0,21877740.36,75.11,Energy,C009,2043,India,Energy
Carbon Capture and Storage,False,291276,407301,0.0,21877740.36,75.11,Energy,C009,2044,India,Energy
Carbon Capture and Storage,False,291275,407301,0.0,21877665.25,75.11,Energy,C009,2045,India,Energy
Carbon Capture and Storage,False,291275,407301,0.0,21877665.25,75.11,Energy,C009,2046,India,Energy
Carbon Capture and Storage,False,291276,407301,0.0,21877740.36,75.11,Energy,C009,2047,India,Energy
Carbon Capture and Storage,False,291276,407301,0.0,21877740.36,75.11,Energy,C009,2048,India,Energy
Carbon Capture and Storage,False,291276,407301,0.0,21877740.36,75.11,Energy,C009,2049,India,Energy
Carbon Capture and Storage,False,291275,407301,0.0,21877665.25,75.11,Energy,C009,2050,India,Energy
Energy Efficiency Upgrades,True,39466,39466,77400000.0,1856085.98,2008.2117767192012,Industrials,C010,2026,India,Healthcare
Carbon Capture and Storage,True,215712,215712,453420000.0,18607317.12,2188.2292923898535,Energy,C010,2026,India,Healthcare
Hydrogen Fuel,True,38602,38602,121710000.0,5813075.18,3303.535443241283,Materials,C010,2026,India,Healthcare
Grid-scale Battery Storage,True,77765,77765,255810000.0,7048619.6,3380.1661364367,Utilities,C010,2026,India,Healthcare
Heat Pumps,True,10804,10804,63060000.0,379544.52,5871.857138097002,Consumer Discretionary,C010,2026,India,Healthcare
Electrification of Equipment,True,13564,13564,93520000.0,889662.76,6960.311321144205,Industrials,C010,2026,India,Healthcare
Wind Power,True,90187,90187,631170000.0,3027577.59,7032.028757914111,Energy,C010,2026,India,Healthcare
Process Electrification,True,39737,39737,325880000.0,3112201.84,8279.241055942824,Materials,C010,2026,India,Healthcare
EV Fleet Transition,True,11220,11220,130039999.99999999,1307915.4,11706.58782531194,Consumer Discretionary,C010,2026,India,Healthcare
Smart Grid Tech,True,10889,10889,146120000.0,669237.9400000001,13480.506744420974,Utilities,C010,2026,India,Healthcare
Energy Efficiency Upgrades,False,39466,39466,0.0,1856085.98,47.03,Industrials,C010,2027,India,Healthcare
Carbon Capture and Storage,False,215712,215712,0.0,18607317.12,86.26,Energy,C010,2027,India,Healthcare
Hydrogen Fuel,False,38602,38602,0.0,5813075.18,150.59,Materials,C010,2027,India,Healthcare
Grid-scale Battery Storage,False,77765,77765,0.0,7048619.6,90.64,Utilities,C010,2027,India,Healthcare
Heat Pumps,False,10804,10804,0.0,379544.52,35.13,Consumer Discretionary,C010,2027,India,Healthcare
Electrification of Equipment,False,13564,13564,0.0,889662.76,65.59,Industrials,C010,2027,India,Healthcare
Wind Power,False,90187,90187,0.0,3027577.59,33.57,Energy,C010,2027,India,Healthcare
Process Electrification,False,39737,39737,0.0,3112201.84,78.32,Materials,C010,2027,India,Healthcare
EV Fleet Transition,False,11220,11220,0.0,1307915.4,116.57,Consumer Discretionary,C010,2027,India,Healthcare
Smart Grid Tech,False,10889,10889,0.0,669237.9400000001,61.46000000000001,Utilities,C010,2027,India,Healthcare
Energy Efficiency Upgrades,True,39466,39466,77400000.0,1856085.98,2008.2117767192012,Industrials,C010,2027,India,Healthcare
Carbon Capture and Storage,True,215712,215712,453420000.0,18607317.12,2188.2292923898535,Energy,C010,2027,India,Healthcare
Hydrogen Fuel,True,38602,38602,121710000.0,5813075.18,3303.535443241283,Materials,C010,2027,India,Healthcare
Grid-scale Battery Storage,True,77765,77765,255810000.0,7048619.6,3380.1661364367,Utilities,C010,2027,India,Healthcare
Heat Pumps,True,10804,10804,63060000.0,379544.52,5871.857138097002,Consumer Discretionary,C010,2027,India,Healthcare
Electrification of Equipment,True,13564,13564,93520000.0,889662.76,6960.311321144205,Industrials,C010,2027,India,Healthcare
Wind Power,True,90187,90187,631170000.0,3027577.59,7032.028757914111,Energy,C010,2027,India,Healthcare
Process Electrification,True,39737,39737,325880000.0,3112201.84,8279.241055942824,Materials,C010,2027,India,Healthcare
EV Fleet Transition,True,11220,11220,130039999.99999999,1307915.4,11706.58782531194,Consumer Discretionary,C010,2027,India,Healthcare
Smart Grid Tech,True,10889,10889,146120000.0,669237.9400000001,13480.506744420974,Utilities,C010,2027,India,Healthcare
Energy Efficiency Upgrades,False,78932,78932,0.0,3712171.96,47.03,Industrials,C010,2028,India,Healthcare
Carbon Capture and Storage,False,431424,431424,0.0,37214634.24,86.26,Energy,C010,2028,India,Healthcare
Hydrogen Fuel,False,77204,77204,0.0,11626150.36,150.59,Materials,C010,2028,India,Healthcare
Grid-scale Battery Storage,False,155530,155530,0.0,14097239.2,90.64,Utilities,C010,2028,India,Healthcare
Heat Pumps,False,21608,21608,0.0,759089.04,35.13,Consumer Discretionary,C010,2028,India,Healthcare
Electrification of Equipment,False,27128,27128,0.0,1779325.52,65.59,Industrials,C010,2028,India,Healthcare
Wind Power,False,180374,180374,0.0,6055155.18,33.57,Energy,C010,2028,India,Healthcare
Process Electrification,False,79474,79474,0.0,6224403.68,78.32,Materials,C010,2028,India,Healthcare
EV Fleet Transition,False,22440,22440,0.0,2615830.8,116.57,Consumer Discretionary,C010,2028,India,Healthcare
Smart Grid Tech,False,21778,21778,0.0,1338475.8800000001,61.46000000000001,Utilities,C010,2028,India,Healthcare
Energy Efficiency Upgrades,True,32460,39466,77400000.0,1526593.8,2008.2117767192012,Industrials,C010,2028,India,Healthcare
Energy Efficiency Upgrades,False,118398,118398,0.0,5568257.94,47.03,Industrials,C010,2029,India,Healthcare
Carbon Capture and Storage,False,431424,431424,0.0,37214634.24,86.26,Energy,C010,2029,India,Healthcare
Hydrogen Fuel,False,77204,77204,0.0,11626150.36,150.59,Materials,C010,2029,India,Healthcare
Grid-scale Battery Storage,False,155530,155530,0.0,14097239.2,90.64,Utilities,C010,2029,India,Healthcare
Heat Pumps,False,21608,21608,0.0,759089.04,35.13,Consumer Discretionary,C010,2029,India,Healthcare
Electrification of Equipment,False,27128,27128,0.0,1779325.52,65.59,Industrials,C010,2029,India,Healthcare
Wind Power,False,180374,180374,0.0,6055155.18,33.57,Energy,C010,2029,India,Healthcare
